lugar;observa;clave;agente;diagnostico
Hoja;Marchitamiento;Unilateral media hoja/planta con amarillamiento previo.;Hongo / Bacteria;Fusarium o Cancro bacteriano
Hoja;Marchitamiento;Repentino e irreversible, la planta muere verde.;Bacteria;Marchitamiento bacteriano
Hoja;Marchitamiento;Mancha característica en forma de V con halo amarillo.;Hongo;Verticillium
Hoja;Manchas con moho/vello;Vello marrón violáceo o verde oliva en el envés.;Hongo;Moho de la hoja
Hoja;Manchas con moho/vello;Polvillo blanco sobre o debajo de las hojas.;Hongo;Polvillo o Cenicilla (Oidio)
Hoja;Manchas con moho/vello;Manchas marrones con esporulación gris abundante.;Hongo;Moho gris
Hoja;Manchas secas / Pecas;Manchas angulosas por nervaduras de aspecto aceitoso.;Bacteria;Peca bacteriana
Hoja;Manchas secas / Pecas;Anillos concéntricos oscuros y aspecto pulverulento.;Hongo;Tizón temprano
Hoja;Manchas secas / Pecas;Manchas pequeńas donde el centro se cae dejando agujeros.;Hongo;Mancha gris
Hoja;Manchas secas / Pecas;Color bronceado o violáceo con anillos marcados.;Virus;Peste Negra
Hoja;Deformación;Solo queda la nervadura central tipo cordón de zapato.;Virus / Herbicida;Virus CMV o Dańo por 2,4D
Hoja;Deformación;Amarillamiento, enanismo y hojas enrolladas.;Virus;Begomovirus
Hoja;Deformación;Moteado variado con zonas claras y oscuras.;Virus;Mosaico del tomate
Tallo y cuello;Corte del tallo;Al introducir el tallo en agua sale una nube blanca tipo zooglea.;Bacteria;Marchitamiento bacteriano
Tallo y cuello;Corte del tallo;Al presionar el tallo sale un exudado amarillento.;Bacteria;Cancro bacteriano
Tallo y cuello;Corte del tallo;Médula parda o marrón que se desintegra y queda hueca.;Bacteria;Médula hueca / Necrosis
Tallo y cuello;Signos Externos;Micelio blanco algodonoso con esclerocios negros.;Hongo;Moho blanco
Tallo y cuello;Signos Externos;Micelio con bolitas redondas color café o castańo.;Hongo;Pata blanca (Sclerotium)
Tallo y cuello;Signos Externos;Tallo agrietado con raíces cortas hacia afuera.;Bacteria;Necrosis de la médula
Tallo y cuello;Base / Raíz;Tallo adelgazado y quebradizo en plántulas.;Hongo / Oomycete;Damping-off
Tallo y cuello;Base / Raíz;Raíz resquebrajada con aspecto de corcho partido.;Hongo;Raíz corchosa
Tallo y cuello;Base / Raíz;Manchas secas color castańo rojizo en raíces y cuello.;Hongo;Rhizoctonia
Frutos;Podredumbre;Fruto convertido en bolsa de agua retenida por la cáscara.;Bacteria;Podredumbre blanda
Frutos;Podredumbre;Moteado color oliva o chocolate de aspecto firme.;Oomycete (Hongo);Tizón tardío
Frutos;Podredumbre;Manchas oscuras con masa gelatinosa rosada.;Hongo;Antracnosis
Frutos;Manchas / Color;Puntos pequeńos con halo blanco tipo ojo de pájaro.;Bacteria;Cancro bacteriano
Frutos;Manchas / Color;Anillos hundidos tipo sacabocados que se oscurecen.;Virus;Peste Negra
Frutos;Manchas / Color;Halos blancos circulares en fruto verde.;Hongo;Moho gris
Frutos;Manchas / Color;Zonas verdes o amarillas que nunca maduran.;Otros (Moscas);Decoloración (Toxinas)
Frutos;Dańo en la base;Mancha negra seca y rígida en la punta del fruto.;Fisiológico;Podredumbre apical
Frutos;Dańo en la base;Fruto deforme con cicatrices leńosas y agujeros.;Fisiológico;Cara de gato (Frío)
Frutos;En el cuerpo;Área blanca apergaminada por exposición directa al sol.;Fisiológico;Quemadura de sol
